anchor_dish_id,anchor_dish_name,anchor_category,anchor_ingredients_preview,candidate_dish_id,candidate_dish_name,candidate_category,candidate_ingredients_preview,llm_mean_score,annotator_1,annotator_2,notes
dish2188,Bánh rán kẹp pate thịt xông khói,mon banh,"Bột bánh rán, Pate gan, Thịt xông khói, Hành tây, Xà lách roman",dish5027,Hàu xào hành tây,mon xao,"Thịt hàu sữa, Hành tây, Tắc, Tỏi, Ớt hiểm",1,0,0,"Liên quan ở mức chấp nhận được: có ít nhất một tín hiệu ontology rõ ràng. | Chia sẻ nguyên liệu chung: dầu ăn, tắc, hành tây (Jaccard=0.19); Cùng nhóm ontology 'gia vị mặn/umami': pate gan, dầu ăn; Nhóm ontology liên quan (sibling): thịt xông khói (thịt chế biến) ↔ thịt hàu sữa (thịt chế biến); Phương pháp khác nhau: Bake vs StirFry"
dish2188,Bánh rán kẹp pate thịt xông khói,mon banh,"Bột bánh rán, Pate gan, Thịt xông khói, Hành tây, Xà lách roman",dish7189,Trứng chiên hành tây,mon chien,"Trứng vịt, Hành tây, Dầu ăn, Hạt nêm, Bột ngọt",1,0,0,"Liên quan ở mức chấp nhận được: có ít nhất một tín hiệu ontology rõ ràng. | Chia sẻ nguyên liệu chung: dầu ăn, hành tây (Jaccard=0.14); Cùng nhóm ontology 'gia vị mặn/umami': pate gan, xà lách roman; Nhóm ontology liên quan (sibling): thịt xông khói (thịt chế biến) ↔ trứng vịt (thịt chế biến); Phương pháp khác nhau: Bake vs Fry; Bổ trợ hương vị (NPMI=0.32): dầu ăn ↔ hạt nêm"
dish2188,Bánh rán kẹp pate thịt xông khói,mon banh,"Bột bánh rán, Pate gan, Thịt xông khói, Hành tây, Xà lách roman",dish4419,Nấm đùi gà xào hành tây,mon xao,"Nấm đùi gà, Hành tây, Hành lá, Hạt nêm chay, Dầu hào chay",0.666666667,0,0,"Liên quan thấp: chỉ có tín hiệu ontology yếu hoặc gián tiếp. | Chia sẻ nguyên liệu chung: dầu ăn, hành tây (Jaccard=0.09); Cùng nhóm ontology 'gia vị mặn/umami': pate gan, dầu ăn; Nhóm ontology liên quan (sibling): xà lách roman (rau củ) ↔ nấm đùi gà (rau củ); Phương pháp khác nhau: Bake vs StirFry"
dish2188,Bánh rán kẹp pate thịt xông khói,mon banh,"Bột bánh rán, Pate gan, Thịt xông khói, Hành tây, Xà lách roman",dish5141,Tôm xào sa tế,mon xao,"Tôm sú, Sa tế tôm, Ớt chuông, Hành tây, Tỏi",1,0,0,"Liên quan ở mức chấp nhận được: có ít nhất một tín hiệu ontology rõ ràng. | Chia sẻ nguyên liệu chung: dầu ăn, hành tây (Jaccard=0.09); Cùng nhóm ontology 'gia vị mặn/umami': pate gan, xà lách roman; Nhóm ontology liên quan (sibling): thịt xông khói (thịt chế biến) ↔ sa tế tôm (thịt chế biến); Phương pháp khác nhau: Bake vs StirFry"
dish2188,Bánh rán kẹp pate thịt xông khói,mon banh,"Bột bánh rán, Pate gan, Thịt xông khói, Hành tây, Xà lách roman",dish9121,Bánh tráng đỏ cuốn trứng cút,an vat,"Bánh tráng đỏ, Trứng cút, Me, Hành tím, Rau răm",1,0,0,"Liên quan ở mức chấp nhận được: có ít nhất một tín hiệu ontology rõ ràng. | Chia sẻ nguyên liệu chung: dầu ăn, tắc, sốt mayonnaise (Jaccard=0.07); Cùng nhóm ontology 'gia vị mặn/umami': dầu ăn; Nhóm ontology liên quan (sibling): thịt xông khói (thịt chế biến) ↔ mực tẩm xé (thịt chế biến); Phương pháp khác nhau: Bake vs Snack; Bổ trợ hương vị (NPMI=0.40): pate gan ↔ sốt mayonnaise"
dish2188,Bánh rán kẹp pate thịt xông khói,mon banh,"Bột bánh rán, Pate gan, Thịt xông khói, Hành tây, Xà lách roman",dish5265,Thịt heo xào hành tây,mon xao,"Thịt heo, Hành tây, Hành boa rô, Dầu ăn, Muối",1,0,1,"Liên quan ở mức chấp nhận được: có ít nhất một tín hiệu ontology rõ ràng. | Chia sẻ nguyên liệu chung: dầu ăn, hành tây (Jaccard=0.16); Cùng nhóm ontology 'gia vị mặn/umami': pate gan, xà lách roman; Nhóm ontology liên quan (sibling): thịt xông khói (thịt chế biến) ↔ thịt heo (thịt chế biến); Phương pháp khác nhau: Bake vs StirFry; Bổ trợ hương vị (NPMI=0.32): dầu ăn ↔ hạt nêm"
dish2188,Bánh rán kẹp pate thịt xông khói,mon banh,"Bột bánh rán, Pate gan, Thịt xông khói, Hành tây, Xà lách roman",dish8572,khoai tây thịt bò,mon tu bo,"Thịt bò, Cà rốt/ Khoai tây, Hành tây, Ngò rí, Hành tím",1,0,1,"Liên quan ở mức chấp nhận được: có ít nhất một tín hiệu ontology rõ ràng. | Chia sẻ nguyên liệu chung: dầu ăn, hành tây (Jaccard=0.08); Cùng nhóm ontology 'gia vị mặn/umami': pate gan, dầu ăn; Nhóm ontology liên quan (sibling): thịt xông khói (thịt chế biến) ↔ thịt bò (thịt chế biến); Phương pháp khác nhau: Bake vs BeefBased"
dish2188,Bánh rán kẹp pate thịt xông khói,mon banh,"Bột bánh rán, Pate gan, Thịt xông khói, Hành tây, Xà lách roman",dish4804,Tim bò xào hành tây,mon xao,"Tim bò, Hành tây, Tỏi nhỏ, Nước tương, Dầu ăn",1,0,0,"Liên quan ở mức chấp nhận được: có ít nhất một tín hiệu ontology rõ ràng. | Chia sẻ nguyên liệu chung: dầu ăn, hành tây (Jaccard=0.16); Cùng nhóm ontology 'gia vị mặn/umami': pate gan, xà lách roman; Nhóm ontology liên quan (sibling): thịt xông khói (thịt chế biến) ↔ tim bò (thịt chế biến); Phương pháp khác nhau: Bake vs StirFry"
dish2188,Bánh rán kẹp pate thịt xông khói,mon banh,"Bột bánh rán, Pate gan, Thịt xông khói, Hành tây, Xà lách roman",dish0586,Súp bí đỏ thịt bò,mon canh,"Bí đỏ, Thịt bò, Hành tây, Tỏi băm, Bơ thực vật",0.666666667,0,0,"Liên quan thấp: chỉ có tín hiệu ontology yếu hoặc gián tiếp. | Chia sẻ nguyên liệu chung: dầu ăn, hành tây (Jaccard=0.08); Cùng nhóm ontology 'gia vị mặn/umami': pate gan, dầu ăn; Nhóm ontology liên quan (sibling): thịt xông khói (thịt chế biến) ↔ thịt bò (thịt chế biến); Phương pháp khác nhau: Bake vs Boil"
dish2188,Bánh rán kẹp pate thịt xông khói,mon banh,"Bột bánh rán, Pate gan, Thịt xông khói, Hành tây, Xà lách roman",dish1338,Bánh Pateso,mon banh,"Thịt ba rọi hoặc thịt nạc vai, Hành tây, Hành tím, Hành lá, Ngò",1.666666667,0,2,"Liên quan tốt: nhiều tín hiệu ontology mạnh. | Chia sẻ nguyên liệu chung: pate gan, hành tây (Jaccard=0.23); Cùng nhóm ontology 'gia vị mặn/umami': pate gan, xà lách roman; Nhóm ontology liên quan (sibling): thịt xông khói (thịt chế biến) ↔ trứng (thịt chế biến); Cùng phương pháp chế biến: Bake; Bổ trợ hương vị (NPMI=0.40): sốt mayonnaise ↔ pate gan"
