anchor_dish_id,anchor_dish_name,anchor_category,anchor_ingredients_preview,candidate_dish_id,candidate_dish_name,candidate_category,candidate_ingredients_preview,llm_mean_score,annotator_1,annotator_2,notes
dish2629,Bánh táo úp ngược bằng nồi chiên không dầu,mon banh,"Táo, Bột mì đa dụng, Bột nở, Trứng gà, Đường",dish1421,Bánh bông lan sữa chua táo bằng nồi chiên không dầu,mon banh,"Trứng gà, Đường, Dầu ăn, Sữa chua nguyên chất, Bột mì đa dụng",1.667,2,2,
dish2629,Bánh táo úp ngược bằng nồi chiên không dầu,mon banh,"Táo, Bột mì đa dụng, Bột nở, Trứng gà, Đường",dish2682,Bánh bông lan bí đỏ Đài Loan,mon banh,"Trứng gà, Bơ lạt, Bí đỏ, Bột mì đa dụng, Đường",1,0,1,
dish2629,Bánh táo úp ngược bằng nồi chiên không dầu,mon banh,"Táo, Bột mì đa dụng, Bột nở, Trứng gà, Đường",dish1359,Bánh chuối dẻo,mon banh,"Chuối chín, Bột năng, Sữa tươi, Đường",1,0,1,
dish2629,Bánh táo úp ngược bằng nồi chiên không dầu,mon banh,"Táo, Bột mì đa dụng, Bột nở, Trứng gà, Đường",dish1982,Bánh sữa gạo,mon banh,"Sữa công thức, Bột bắp, Đường",1,0,0,
dish2629,Bánh táo úp ngược bằng nồi chiên không dầu,mon banh,"Táo, Bột mì đa dụng, Bột nở, Trứng gà, Đường",dish2143,Hotteok - bánh rán Hàn Quốc nhân mật ong và nhân mặn,mon banh,"Bột bánh mì, Bột gạo nếp, Bột nở, Bơ lạt đun chảy, Bột quế",1,0,0,
dish2629,Bánh táo úp ngược bằng nồi chiên không dầu,mon banh,"Táo, Bột mì đa dụng, Bột nở, Trứng gà, Đường",dish9088,Sữa chua từ nấm sữa Kefir,an vat,"Nấm Kefir, Sữa tươi",0.333,0,0,
dish4142,Dê nướng sa tế,mon nuong,"Sườn dê, Đậu bắp, Sa tế, Chao, Rượu trắng",dish5289,Hến xào sa tế,mon xao,"Hến, Sa tế, Hành tím, Ớt, Sả",1.667,1,1,
dish4142,Dê nướng sa tế,mon nuong,"Sườn dê, Đậu bắp, Sa tế, Chao, Rượu trắng",dish3733,Cơm tấm bằng xửng hấp,mon nuong,"Gạo tấm, Thịt nạc dăm, Thịt ba chỉ, Lá dứa, Hành lá",0.667,0,0,
dish4142,Dê nướng sa tế,mon nuong,"Sườn dê, Đậu bắp, Sa tế, Chao, Rượu trắng",dish8409,Gà cánh tiên,mon tu ga,"Gà, Muối hạt, Gừng tươi, Bột canh, Rượu trắng",1,0,0,
dish4142,Dê nướng sa tế,mon nuong,"Sườn dê, Đậu bắp, Sa tế, Chao, Rượu trắng",dish5551,Thịt trâu xào khế,mon xao,"Thịt trâu, Khế chua, Tỏi, Gừng, Dầu hào",1,0,0,
