anchor_dish_id,anchor_dish_name,anchor_category,anchor_ingredients_preview,candidate_dish_id,candidate_dish_name,candidate_category,candidate_ingredients_preview,llm_mean_score,annotator_1,annotator_2,notes
dish3567,Kem socola,mon kem,"Siro socola, Bột cacao, Sữa tươi không đường, Bột sữa, Kem béo dạng đặc",dish3568,Kem nhãn,mon kem,"Cơm nhãn, Whipping cream, Sữa tươi không đường, Lòng đỏ trứng gà, Tinh chất vani",0.667,,,
dish3567,Kem socola,mon kem,"Siro socola, Bột cacao, Sữa tươi không đường, Bột sữa, Kem béo dạng đặc",dish3662,Kem tiramisu,mon kem,"Whipping cream, Rượu Rhum, Bơ lạt đun chảy, Sữa đặc, Bột cacao",1.0,,,
dish3567,Kem socola,mon kem,"Siro socola, Bột cacao, Sữa tươi không đường, Bột sữa, Kem béo dạng đặc",dish3655,Kem mè đen,mon kem,"Mè đen, Sữa tươi không đường, Sữa đặc, Sữa chua, Muối",1.0,,,
dish3567,Kem socola,mon kem,"Siro socola, Bột cacao, Sữa tươi không đường, Bột sữa, Kem béo dạng đặc",dish3660,Kem bí đỏ,mon kem,"Bí đỏ, Nước cốt dừa, Sữa đặc, Lòng đỏ trứng gà, Bột khoai tây",1.0,,,
dish3567,Kem socola,mon kem,"Siro socola, Bột cacao, Sữa tươi không đường, Bột sữa, Kem béo dạng đặc",dish3564,Kem mít bằng máy xay sinh tố,mon kem,"Mít, Whipping cream, Sữa đặc, Đường",1.0,,,
dish3567,Kem socola,mon kem,"Siro socola, Bột cacao, Sữa tươi không đường, Bột sữa, Kem béo dạng đặc",dish3587,Kem cam que,mon kem,"Cam vàng, Màu cam thực phẩm, Hương liệu mùi cam, Bột mì đa dụng, Đường",1.0,,,
dish6184,Phá lấu lòng heo,mon kho,"Bao tử heo, Lòng heo, Dồi trường, Tim heo, Cật heo",dish6013,Cá rô phi kho tương riềng,mon kho,"Cá rô phi, Thịt ba chỉ, Riềng, Sả, Ớt",0.667,,,
dish6184,Phá lấu lòng heo,mon kho,"Bao tử heo, Lòng heo, Dồi trường, Tim heo, Cật heo",dish5958,Gà kho cà ri,mon kho,"Thịt gà, Hành tím, Tỏi, Ớt, Bột cà ri",0.667,,,
dish6184,Phá lấu lòng heo,mon kho,"Bao tử heo, Lòng heo, Dồi trường, Tim heo, Cật heo",dish5836,Gà kho rau răm,mon kho,"Đùi gà, Rau răm, Hành tím, Tỏi, Ớt",1.0,,,
dish6184,Phá lấu lòng heo,mon kho,"Bao tử heo, Lòng heo, Dồi trường, Tim heo, Cật heo",dish5663,Vả kho thịt,mon kho,"Vả, Thịt heo, Chanh, Hành lá, Dầu ăn",1.0,,,
