query_dish_id,query_dish_name,query_category,query_ingredients,candidate_dish_id,candidate_dish_name,candidate_category,candidate_ingredients,score_qwen2_5_7b,score_llama3_1_8b,score_gemma2_9b,score_mistral_7b,score_mean,n_models
dish1563,Bánh táo hoa hồng,mon banh,"Bột mì đa dụng, Táo, Bơ lạt, Trứng gà, Đường bột",dish1990,Bánh quy vị quế gừng,mon banh,"Bột mì đa dụng, Bột quế, Bột gừng, Bơ lạt, Baking soda",1,1,1,1,1.0,4
dish1563,Bánh táo hoa hồng,mon banh,"Bột mì đa dụng, Táo, Bơ lạt, Trứng gà, Đường bột",dish2905,Bánh quy vị trà,mon banh,"Bột mì đa dụng, Bơ lạt, Đường bột, Trà Bá Tước, Muối",1,1,1,1,1.0,4
dish1563,Bánh táo hoa hồng,mon banh,"Bột mì đa dụng, Táo, Bơ lạt, Trứng gà, Đường bột",dish1057,Bánh màn thầu,mon banh,"Bột mì, Men nở, Bột nở, Đường trắng, Nước",0,1,1,1,0.75,4
dish1563,Bánh táo hoa hồng,mon banh,"Bột mì đa dụng, Táo, Bơ lạt, Trứng gà, Đường bột",dish1236,Bánh bông lan sữa chua,mon banh,"Bột mì, Bột bắp, Trứng gà to, Sữa chua không đường, Đường ăn kiêng",0,1,1,1,0.75,4
dish1563,Bánh táo hoa hồng,mon banh,"Bột mì đa dụng, Táo, Bơ lạt, Trứng gà, Đường bột",dish1132,Bánh bò mít,mon banh,"Nước ấm, Đường, Men, Bột gạo, Nước dừa tươi",0,1,1,1,0.75,4
dish1563,Bánh táo hoa hồng,mon banh,"Bột mì đa dụng, Táo, Bơ lạt, Trứng gà, Đường bột",dish1892,Bánh quy caramel mặn,mon banh,"Bột mì đa dụng, Bơ lạt, Heavy cream, Trứng, Đường bột",0,1,1,1,0.75,4
dish1563,Bánh táo hoa hồng,mon banh,"Bột mì đa dụng, Táo, Bơ lạt, Trứng gà, Đường bột",dish1284,Bánh lưỡi mèo,mon banh,"Trứng, Bơ lạt, Muối, Đường bột, Vani",1,1,1,1,1.0,4
dish1563,Bánh táo hoa hồng,mon banh,"Bột mì đa dụng, Táo, Bơ lạt, Trứng gà, Đường bột",dish2346,Bánh mì táo bằng bánh mì sandwich,mon banh,"Táo, Bơ, Đường, Mật ong, Bột quế",0,1,1,1,0.75,4
dish0536,Sườn dê hầm thuốc bắc ngải cứu,mon canh,"Sườn dê, Thuốc bắc, Táo đỏ, Long nhãn, Thục địa",dish0170,Canh thịt bò củ cải kiểu Hàn Quốc,mon canh,"Thịt bò, Củ cải trắng, Hành boa rô, Rượu trắng, Nước tương",0,1,1,1,0.75,4
dish0536,Sườn dê hầm thuốc bắc ngải cứu,mon canh,"Sườn dê, Thuốc bắc, Táo đỏ, Long nhãn, Thục địa",dish0701,Canh đậu đỏ nấu sườn,mon canh,"Sườn non, Đậu đỏ, Đậu trắng, Đậu đen, Nấm rơm",1,1,1,1,1.0,4
dish0536,Sườn dê hầm thuốc bắc ngải cứu,mon canh,"Sườn dê, Thuốc bắc, Táo đỏ, Long nhãn, Thục địa",dish0317,Cách làm súp bào ngư vi cá,mon canh,"Bào ngư, Vi cá mập, Hải sâm, Nấm hương, Táo tàu",0,1,1,0,0.5,4
dish0536,Sườn dê hầm thuốc bắc ngải cứu,mon canh,"Sườn dê, Thuốc bắc, Táo đỏ, Long nhãn, Thục địa",dish0362,Cá ngân nấu canh chua,mon canh,"Cá ngân, Cà chua, Đậu bắp, Dọc mùng, Ớt hiểm",0,1,1,0,0.5,4
dish0536,Sườn dê hầm thuốc bắc ngải cứu,mon canh,"Sườn dê, Thuốc bắc, Táo đỏ, Long nhãn, Thục địa",dish0024,Vịt tiềm ngũ quả,mon canh,"Vịt nguyên con, Thịt bằm, Đu đủ bào, Cà rốt bào, Nấm hương khô",0,1,1,0,0.5,4
dish0536,Sườn dê hầm thuốc bắc ngải cứu,mon canh,"Sườn dê, Thuốc bắc, Táo đỏ, Long nhãn, Thục địa",dish0430,Canh bí đao thịt bò,mon canh,"Thịt bò, Bí đao, Tỏi, Hành tím, Hành lá",0,1,1,1,0.75,4
dish0536,Sườn dê hầm thuốc bắc ngải cứu,mon canh,"Sườn dê, Thuốc bắc, Táo đỏ, Long nhãn, Thục địa",dish0394,Hoa chuối nấu móng giò,mon canh,"Móng giò heo, Hoa chuối, Hành tím, Hành lá, Chanh",0,1,1,0,0.5,4
dish0536,Sườn dê hầm thuốc bắc ngải cứu,mon canh,"Sườn dê, Thuốc bắc, Táo đỏ, Long nhãn, Thục địa",dish0562,Súp khoai tây,mon canh,"Khoai tây, Sữa tươi, Bơ, Nước ấm, Tỏi",0,0,0,0,0.0,4
dish4840,Nấm mỡ xào cần tây chay,mon xao,"Nấm mỡ nâu, Nấm mỡ trắng, Cần tây, Hành baro, Dầu hào chay",dish5054,Mì xào Hàn Quốc với tôm,mon xao,"Mì sợi tròn, Tôm, Đậu que, Nấm hương khô, Cải thảo",0,1,1,1,0.75,4
dish4840,Nấm mỡ xào cần tây chay,mon xao,"Nấm mỡ nâu, Nấm mỡ trắng, Cần tây, Hành baro, Dầu hào chay",dish4744,Thịt bò xào hành cần tây,mon xao,"Thịt bò, Cần tây, Hành tây, Cà chua, Ngò rí",1,1,1,1,1.0,4
dish4840,Nấm mỡ xào cần tây chay,mon xao,"Nấm mỡ nâu, Nấm mỡ trắng, Cần tây, Hành baro, Dầu hào chay",dish4655,Thịt bò xào cà rốt,mon xao,"Thịt bò, Cà rốt, Hành tây, Tỏi, Gừng",0,1,1,0,0.5,4
dish4840,Nấm mỡ xào cần tây chay,mon xao,"Nấm mỡ nâu, Nấm mỡ trắng, Cần tây, Hành baro, Dầu hào chay",dish4419,Nấm đùi gà xào hành tây,mon xao,"Nấm đùi gà, Hành tây, Hành lá, Hạt nêm chay, Dầu hào chay",1,1,1,1,1.0,4
dish4840,Nấm mỡ xào cần tây chay,mon xao,"Nấm mỡ nâu, Nấm mỡ trắng, Cần tây, Hành baro, Dầu hào chay",dish5442,Cải thìa sốt nấm,mon xao,"Cải thìa, Nấm hương, Nấm đùi gà, Hành boa rô, Dầu hào chay",1,1,1,1,1.0,4
dish4840,Nấm mỡ xào cần tây chay,mon xao,"Nấm mỡ nâu, Nấm mỡ trắng, Cần tây, Hành baro, Dầu hào chay",dish4420,Thịt heo xào nấm đông cô,mon xao,"Thịt heo, Nấm đông cô tươi, Hành lá, Ớt, Hành tím",0,1,1,0,0.5,4
dish4840,Nấm mỡ xào cần tây chay,mon xao,"Nấm mỡ nâu, Nấm mỡ trắng, Cần tây, Hành baro, Dầu hào chay",dish4768,Nui xào thập cẩm chay,mon xao,"Nui, Nấm đùi gà mini, Ớt chuông, Cà rốt, Susu",0,1,1,0,0.5,4
dish4840,Nấm mỡ xào cần tây chay,mon xao,"Nấm mỡ nâu, Nấm mỡ trắng, Cần tây, Hành baro, Dầu hào chay",dish4589,Mì ý gà viên sốt cà chua,mon xao,"Mì ý, Ức gà, Cà chua băm nhuyễn, Bơ lạt, Bột mì",0,1,0,0,0.25,4
dish4218,Cà tím nhồi thịt nướng sốt thái,mon nuong,"Cà tím, Thịt băm, Giò sống, Dầu hào, Bột chiên giòn",dish3763,Trứng confit,mon nuong,"Trứng, Dầu olive, Tỏi, Lá hương thảo khô, Muối ăn",0,1,1,1,0.75,4
dish4218,Cà tím nhồi thịt nướng sốt thái,mon nuong,"Cà tím, Thịt băm, Giò sống, Dầu hào, Bột chiên giòn",dish3814,Cá lốc nướng ống tre,mon nuong,"Cá lóc, Ớt, Tỏi, Hành tím, Hành lá",0,1,1,0,0.5,4
dish4218,Cà tím nhồi thịt nướng sốt thái,mon nuong,"Cà tím, Thịt băm, Giò sống, Dầu hào, Bột chiên giòn",dish4136,đùi gà nướng mật ong bằng lò nướng,mon nuong,"Đùi gà, Tương ớt, Mật ong, Xì dầu, Nước mắm",0,1,1,0,0.5,4
