dish_id,dish_name,category,core_ingredients,candidate_id,candidate_name,score_qwen2_5_7b,score_llama3_1_8b,score_gemma2_9b,score_mistral_7b,score_mean,n_models
dish7726,Lẩu gà nước dừa,mon lau,"Thịt gà, Nước dừa",ingre07370,xà lách xoong,1,1,1,2,1.25,4
dish7726,Lẩu gà nước dừa,mon lau,"Thịt gà, Nước dừa",ingre02768,hành tím,1,2,2,2,1.75,4
dish7726,Lẩu gà nước dừa,mon lau,"Thịt gà, Nước dừa",ingre02124,dầu ăn,0,1,1,1,0.75,4
dish7726,Lẩu gà nước dừa,mon lau,"Thịt gà, Nước dừa",ingre04176,mồng tơi,2,1,1,2,1.5,4
dish7726,Lẩu gà nước dừa,mon lau,"Thịt gà, Nước dừa",ingre05900,sả,2,2,2,1,1.75,4
dish7726,Lẩu gà nước dừa,mon lau,"Thịt gà, Nước dừa",ingre02995,hạt nêm,1,1,2,1,1.25,4
dish7726,Lẩu gà nước dừa,mon lau,"Thịt gà, Nước dừa",ingre01780,cải cúc,1,1,1,2,1.25,4
dish7726,Lẩu gà nước dừa,mon lau,"Thịt gà, Nước dừa",ingre03746,muối,1,1,2,2,1.5,4
dish7726,Lẩu gà nước dừa,mon lau,"Thịt gà, Nước dừa",ingre04694,nước mắm,1,2,2,2,1.75,4
dish10617,Bánh cuốn từ cơm nguội,mon cuon - tron,Cơm nguội,ingre04538,nước cốt chanh,1,2,1,2,1.5,4
dish10617,Bánh cuốn từ cơm nguội,mon cuon - tron,Cơm nguội,ingre02124,dầu ăn,1,1,1,1,1.0,4
dish10617,Bánh cuốn từ cơm nguội,mon cuon - tron,Cơm nguội,ingre04199,mỡ hành,2,2,2,2,2.0,4
dish10617,Bánh cuốn từ cơm nguội,mon cuon - tron,Cơm nguội,ingre06612,tiêu,2,2,1,2,1.75,4
dish10617,Bánh cuốn từ cơm nguội,mon cuon - tron,Cơm nguội,ingre07583,đường,1,1,1,1,1.0,4
dish10617,Bánh cuốn từ cơm nguội,mon cuon - tron,Cơm nguội,ingre06414,thịt heo xay,2,2,2,2,2.0,4
dish10617,Bánh cuốn từ cơm nguội,mon cuon - tron,Cơm nguội,ingre06571,tinh bột năng,2,2,1,2,1.75,4
dish10617,Bánh cuốn từ cơm nguội,mon cuon - tron,Cơm nguội,ingre02768,hành tím,1,1,2,2,1.5,4
dish10617,Bánh cuốn từ cơm nguội,mon cuon - tron,Cơm nguội,ingre06563,tinh bột gạo,2,2,2,2,2.0,4
dish10617,Bánh cuốn từ cơm nguội,mon cuon - tron,Cơm nguội,ingre06566,tinh bột khoai tây,0,1,0,1,0.5,4
dish0298,Canh nấm hải sản,mon canh,"Nấm hải sản, Cà chua",ingre04581,nước cốt me,1,2,1,2,1.5,4
dish0298,Canh nấm hải sản,mon canh,"Nấm hải sản, Cà chua",ingre02151,dứa,0,1,0,1,0.5,4
dish0298,Canh nấm hải sản,mon canh,"Nấm hải sản, Cà chua",ingre02673,hành lá,1,1,1,2,1.25,4
dish0298,Canh nấm hải sản,mon canh,"Nấm hải sản, Cà chua",ingre03807,muối/ bột ngọt,1,2,1,2,1.5,4
dish0298,Canh nấm hải sản,mon canh,"Nấm hải sản, Cà chua",ingre02124,dầu ăn,0,1,1,1,0.75,4
dish0298,Canh nấm hải sản,mon canh,"Nấm hải sản, Cà chua",ingre04057,mùi tàu,0,1,1,2,1.0,4
dish9034,Chè Thái,an vat,"Thạch dừa, Lê, Mít",ingre06147,sữa tươi không đường,1,2,1,2,1.5,4
dish9034,Chè Thái,an vat,"Thạch dừa, Lê, Mít",ingre00925,bột sương sáo đen,1,2,1,1,1.25,4
dish9034,Chè Thái,an vat,"Thạch dừa, Lê, Mít",ingre05661,si rô dâu,1,1,0,2,1.0,4
dish9034,Chè Thái,an vat,"Thạch dừa, Lê, Mít",ingre06174,sữa đặc,1,2,2,2,1.75,4
dish9034,Chè Thái,an vat,"Thạch dừa, Lê, Mít",ingre04554,nước cốt dừa,2,2,2,2,2.0,4
dish9034,Chè Thái,an vat,"Thạch dừa, Lê, Mít",ingre03417,lá dứa,2,2,2,1,1.75,4
dish9034,Chè Thái,an vat,"Thạch dừa, Lê, Mít",ingre07583,đường,1,2,2,2,1.75,4
dish9034,Chè Thái,an vat,"Thạch dừa, Lê, Mít",ingre01765,cơm sầu riêng,1,2,1,1,1.25,4
dish9034,Chè Thái,an vat,"Thạch dừa, Lê, Mít",ingre00897,bột rau câu dẻo,1,2,1,2,1.5,4
dish9034,Chè Thái,an vat,"Thạch dừa, Lê, Mít",ingre00849,bột năng,1,2,1,1,1.25,4
dish3266,Bún cá cờ,mon nuoc,"Cá cờ, Cải xà lách, Rau sống, Hành lá",ingre06247,thơm,2,2,1,1,1.5,4
dish3266,Bún cá cờ,mon nuoc,"Cá cờ, Cải xà lách, Rau sống, Hành lá",ingre02093,dầu màu điều,0,1,0,2,0.75,4
dish3266,Bún cá cờ,mon nuoc,"Cá cờ, Cải xà lách, Rau sống, Hành lá",ingre07071,tỏi băm,2,2,2,2,2.0,4
dish3266,Bún cá cờ,mon nuoc,"Cá cờ, Cải xà lách, Rau sống, Hành lá",ingre02774,hành tím băm,1,2,2,2,1.75,4
dish3266,Bún cá cờ,mon nuoc,"Cá cờ, Cải xà lách, Rau sống, Hành lá",ingre01280,chả cá thác lác,1,2,2,2,1.75,4
dish3266,Bún cá cờ,mon nuoc,"Cá cờ, Cải xà lách, Rau sống, Hành lá",ingre01354,cà chua,1,1,0,2,1.0,4
dish3266,Bún cá cờ,mon nuoc,"Cá cờ, Cải xà lách, Rau sống, Hành lá",ingre08026,ớt hiểm,1,1,2,2,1.5,4
dish3266,Bún cá cờ,mon nuoc,"Cá cờ, Cải xà lách, Rau sống, Hành lá",ingre05900,sả,2,1,2,2,1.75,4
dish3266,Bún cá cờ,mon nuoc,"Cá cờ, Cải xà lách, Rau sống, Hành lá",ingre00819,bột ngọt,1,1,0,0,0.5,4
dish3266,Bún cá cờ,mon nuoc,"Cá cờ, Cải xà lách, Rau sống, Hành lá",ingre07583,đường,1,1,1,1,1.0,4
dish2827,Cách làm Granola bar - thanh ngũ cốc,mon banh,"Yến mạch, Hạnh nhân",ingre02222,g  mơ sấy,1,1,1,1,1.0,4
dish2827,Cách làm Granola bar - thanh ngũ cốc,mon banh,"Yến mạch, Hạnh nhân",ingre04124,mật ong,2,1,2,1,1.5,4
dish2827,Cách làm Granola bar - thanh ngũ cốc,mon banh,"Yến mạch, Hạnh nhân",ingre02220,g  hướng dương,2,1,1,1,1.25,4
dish2827,Cách làm Granola bar - thanh ngũ cốc,mon banh,"Yến mạch, Hạnh nhân",ingre02217,g  bí,0,1,0,1,0.5,4
dish2827,Cách làm Granola bar - thanh ngũ cốc,mon banh,"Yến mạch, Hạnh nhân",ingre02218,g  chà là sấy,0,1,2,1,1.0,4
dish2506,Bánh xèo gạo lứt đậu lăng,mon banh,Hạt đậu lăng,ingre02151,dứa,0,1,1,1,0.75,4
dish2506,Bánh xèo gạo lứt đậu lăng,mon banh,Hạt đậu lăng,ingre04626,nước dừa tươi,2,2,2,1,1.75,4
dish2506,Bánh xèo gạo lứt đậu lăng,mon banh,Hạt đậu lăng,ingre02673,hành lá,1,1,2,2,1.5,4
dish2506,Bánh xèo gạo lứt đậu lăng,mon banh,Hạt đậu lăng,ingre01419,cà rốt,0,1,1,1,0.75,4
dish2506,Bánh xèo gạo lứt đậu lăng,mon banh,Hạt đậu lăng,ingre03746,muối,1,1,2,2,1.5,4
dish2506,Bánh xèo gạo lứt đậu lăng,mon banh,Hạt đậu lăng,ingre00671,bột gạo lứt,2,2,2,2,2.0,4
dish2506,Bánh xèo gạo lứt đậu lăng,mon banh,Hạt đậu lăng,ingre04694,nước mắm,1,2,2,2,1.75,4
dish2506,Bánh xèo gạo lứt đậu lăng,mon banh,Hạt đậu lăng,ingre00804,bột nghệ,1,1,2,1,1.25,4
dish2506,Bánh xèo gạo lứt đậu lăng,mon banh,Hạt đậu lăng,ingre04490,nước,0,2,2,1,1.25,4
dish2506,Bánh xèo gạo lứt đậu lăng,mon banh,Hạt đậu lăng,ingre02094,dầu mè,2,2,1,2,1.75,4
dish1383,Thơm sấy muối ớt,mon banh,Thơm,ingre02124,dầu ăn,0,1,1,2,1.0,4
dish1383,Thơm sấy muối ớt,mon banh,Thơm,ingre03746,muối,2,2,2,2,2.0,4
dish1383,Thơm sấy muối ớt,mon banh,Thơm,ingre07583,đường,1,1,1,1,1.0,4
dish1383,Thơm sấy muối ớt,mon banh,Thơm,ingre08026,ớt hiểm,2,2,2,2,2.0,4
dish1383,Thơm sấy muối ớt,mon banh,Thơm,ingre08068,ớt sừng xanh,2,2,2,2,2.0,4
dish8868,Rau câu flan,an vat,Sữa đặc,ingre04626,nước dừa tươi,2,1,1,1,1.25,4
dish8868,Rau câu flan,an vat,Sữa đặc,ingre07140,vani,2,2,1,0,1.25,4
dish8868,Rau câu flan,an vat,Sữa đặc,ingre00899,bột rau câu giòn,2,2,2,2,2.0,4
dish8868,Rau câu flan,an vat,Sữa đặc,ingre00576,bột cacao,1,1,0,0,0.5,4
dish8868,Rau câu flan,an vat,Sữa đặc,ingre07635,đường phèn,2,2,2,1,1.75,4
dish8868,Rau câu flan,an vat,Sữa đặc,ingre03417,lá dứa,1,2,2,1,1.5,4
dish8868,Rau câu flan,an vat,Sữa đặc,ingre04554,nước cốt dừa,2,1,1,1,1.25,4
dish8868,Rau câu flan,an vat,Sữa đặc,ingre04743,nước sôi,0,1,0,1,0.5,4
dish8868,Rau câu flan,an vat,Sữa đặc,ingre04851,nước đun sôi để nguội,1,1,1,1,1.0,4
dish8868,Rau câu flan,an vat,Sữa đặc,ingre06147,sữa tươi không đường,1,1,0,1,0.75,4
dish1047,Bánh su kem trái cây,mon banh,"Bơ lạt, Nước, Tinh chất vani, Xoài chín, Kiwi, Dâu",ingre06823,trứng gà,1,1,0,1,0.75,4
dish1047,Bánh su kem trái cây,mon banh,"Bơ lạt, Nước, Tinh chất vani, Xoài chín, Kiwi, Dâu",ingre07583,đường,2,2,2,2,2.0,4
dish1047,Bánh su kem trái cây,mon banh,"Bơ lạt, Nước, Tinh chất vani, Xoài chín, Kiwi, Dâu",ingre06146,sữa tươi có đường,1,2,1,1,1.25,4
dish1047,Bánh su kem trái cây,mon banh,"Bơ lạt, Nước, Tinh chất vani, Xoài chín, Kiwi, Dâu",ingre03746,muối,0,1,0,0,0.25,4
dish1047,Bánh su kem trái cây,mon banh,"Bơ lạt, Nước, Tinh chất vani, Xoài chín, Kiwi, Dâu",ingre00564,bột bắp,1,1,0,0,0.5,4
dish1047,Bánh su kem trái cây,mon banh,"Bơ lạt, Nước, Tinh chất vani, Xoài chín, Kiwi, Dâu",ingre00791,bột mì đa dụng,1,1,2,0,1.0,4
dish8092,Salad bắp cải,mon goi - salad,"Bắp cải, Táo",ingre06199,thanh cua,1,1,0,2,1.0,4
dish8092,Salad bắp cải,mon goi - salad,"Bắp cải, Táo",ingre04050,mù tạt,1,2,1,2,1.5,4
dish8092,Salad bắp cải,mon goi - salad,"Bắp cải, Táo",ingre04538,nước cốt chanh,2,2,2,2,2.0,4
dish8092,Salad bắp cải,mon goi - salad,"Bắp cải, Táo",ingre07801,đậu phộng rang thơm,2,2,2,2,2.0,4
dish8092,Salad bắp cải,mon goi - salad,"Bắp cải, Táo",ingre02000,dưa chuột,1,2,1,0,1.0,4
dish8092,Salad bắp cải,mon goi - salad,"Bắp cải, Táo",ingre03639,mayonnaise,1,1,1,0,0.75,4
dish8092,Salad bắp cải,mon goi - salad,"Bắp cải, Táo",ingre03745,muõn cà phê mật ong,1,1,1,1,1.0,4
dish9010,Mì sầu riêng,an vat,"Thịt sầu riêng, Đậu phộng rang",ingre04554,nước cốt dừa,2,2,2,2,2.0,4
dish9010,Mì sầu riêng,an vat,"Thịt sầu riêng, Đậu phộng rang",ingre03417,lá dứa,0,1,1,2,1.0,4
dish9010,Mì sầu riêng,an vat,"Thịt sầu riêng, Đậu phộng rang",ingre07647,đường thốt nốt,2,2,2,1,1.75,4
dish9010,Mì sầu riêng,an vat,"Thịt sầu riêng, Đậu phộng rang",ingre06266,thạch đen,0,1,0,1,0.5,4
dish9010,Mì sầu riêng,an vat,"Thịt sầu riêng, Đậu phộng rang",ingre00849,bột năng,0,1,1,1,0.75,4
dish9010,Mì sầu riêng,an vat,"Thịt sầu riêng, Đậu phộng rang",ingre03746,muối,0,1,2,2,1.25,4
dish9010,Mì sầu riêng,an vat,"Thịt sầu riêng, Đậu phộng rang",ingre03929,mè rang,1,2,2,1,1.5,4
dish9010,Mì sầu riêng,an vat,"Thịt sầu riêng, Đậu phộng rang",ingre06789,trân châu trắng,0,1,0,2,0.75,4
dish9010,Mì sầu riêng,an vat,"Thịt sầu riêng, Đậu phộng rang",ingre00791,bột mì đa dụng,0,1,1,1,0.75,4
