query_id,query,query_type,classes_positive,classes_negative,cooking_method,candidate_dish_id,candidate_dish_name,candidate_category,candidate_ingredients_preview,rule_label,annotator_1,annotator_2,notes
q191,gà xào đơn giản,cooking_method,Poultry,,StirFry,dish5495,Mì Ý mắt ma máu,mon xao,"Mì Ý, Thịt ức gà, Trứng gà, Bột rau kinh giới, Bột rau húng tây",1,0,0,
q191,gà xào đơn giản,cooking_method,Poultry,,StirFry,dish0751,Canh thịt bò nấu dứa,mon canh,"Thịt bắp bò, Dứa, Cà chua, Hành tím, Tỏi",0,0,0,
q191,gà xào đơn giản,cooking_method,Poultry,,StirFry,dish4525,Chân gà rút xương xào măng chua,mon xao,"Chân gà, Măng chua, Ớt sừng, Gừng, Hành tím",1,0,1,
q191,gà xào đơn giản,cooking_method,Poultry,,StirFry,dish3151,Mực ngâm tro,mon nuoc,"Khô mực, Nước tro tàu",0,0,0,
q191,gà xào đơn giản,cooking_method,Poultry,,StirFry,dish1140,Bánh cupcake bông lan sữa đặc,mon banh,"Bột làm bánh  (Cake Flour), Sữa đặc, Trứng gà, Nước cốt chanh, Tinh chất vani",0,0,0,
q191,gà xào đơn giản,cooking_method,Poultry,,StirFry,dish4985,Thịt vịt xào chua ngọt,mon xao,"Thịt vịt, Giấm, Chanh, Hành tím, Tỏi",1,1,1,
q191,gà xào đơn giản,cooking_method,Poultry,,StirFry,dish3734,Sốt phô mai trứng muối,mon nuong,"Lòng đỏ trứng muối, Sữa tươi, Phô mai, Lá oregano, Sữa đặc",0,1,0,
q191,gà xào đơn giản,cooking_method,Poultry,,StirFry,dish4754,Đậu rồng xào thịt heo,mon xao,"Thịt ba chỉ, Đậu rồng, Hành tím, Tỏi, Dầu ăn",0,1,0,
q191,gà xào đơn giản,cooking_method,Poultry,,StirFry,dish5112,Ức gà xào ớt chuông,mon xao,"Thịt ức gà, Ớt chuông xanh, Ớt chuông vàng, Ớt chuông đỏ, Dứa",1,1,1,
q191,gà xào đơn giản,cooking_method,Poultry,,StirFry,dish5472,Bồ câu xào hành răm,mon xao,"Chim bồ câu, Rau răm, Rau ngò gai, Hành lá, Hành tím",1,1,1,
q158,chua kho,cooking_method,SourSeasoning,,Stew,dish5903,Cà tím kho tộ chay,mon kho,"Cà tím, Nấm đông cô khô, Đậu hũ, Hành tây, Ớt sừng",1,0,0,
q158,chua kho,cooking_method,SourSeasoning,,Stew,dish10094,Chanh dây mật ong,thuc uong,"Chanh dây, Chanh, Đường, Mật ong, Nước ấm",0,0,0,
q158,chua kho,cooking_method,SourSeasoning,,Stew,dish1170,Bánh trứng cuộn bằng nồi chiên không dầu,mon banh,"Trứng gà, Đường, Bơ đã đun chảy, Bột mì",0,0,0,
q158,chua kho,cooking_method,SourSeasoning,,Stew,dish5740,Cá lóc kho măng tươi,mon kho,"Cá lóc, Búp măng non, Ớt sừng, Hành tím, Tỏi",1,1,0,
q158,chua kho,cooking_method,SourSeasoning,,Stew,dish6159,Thịt vịt kho tàu,mon kho,"Thịt vịt, Trứng vịt, Tỏi, Gừng, Ớt sừng",1,0,0,
q158,chua kho,cooking_method,SourSeasoning,,Stew,dish2804,Bánh bông lan bí đỏ không cần lò nướng,mon banh,"Bí đỏ, Bột mì đa dụng, Sữa tươi, Nước, Đường trắng",0,0,0,
q158,chua kho,cooking_method,SourSeasoning,,Stew,dish8865,Chân vịt ngâm sả ớt,an vat,"Chân vịt, Nước mắm, Sả, Ớt, Gừng",0,0,0,
q158,chua kho,cooking_method,SourSeasoning,,Stew,dish10517,Xôi vị hoa đậu biếc đậu xanh,mon trang mieng,"Gạo nếp, Hoa đậu biếc tươi, Đậu xanh đãi vỏ, Nước cốt dừa, Vani",0,0,0,
q158,chua kho,cooking_method,SourSeasoning,,Stew,dish6135,Vịt kho chuối xanh,mon kho,"Thịt vịt, Chuối xanh, Hành tím băm, Tỏi băm, Gừng xắt sợi",1,1,1,
q158,chua kho,cooking_method,SourSeasoning,,Stew,dish5790,Cá bạc má kho tiêu,mon kho,"Cá bạc má, Thịt ba chỉ, Riềng, Sả, Ớt",1,0,0,
q152,gạo lẩu,cooking_method,Grain,,Hotpot,dish7729,Lẩu cháo cá lóc,mon lau,"Cá lóc, Gạo tẻ, Gạo nếp, Thịt heo xay, Nấm rơm",1,1,1,
q152,gạo lẩu,cooking_method,Grain,,Hotpot,dish7838,Lẩu cá chép nấu riêu,mon lau,"Cá chép, Xương ức gà, Cà chua, Hành tím, Ớt hiểm",1,0,0,
q152,gạo lẩu,cooking_method,Grain,,Hotpot,dish1085,Bánh sừng trâu (croissant) nhân thịt nguội phô mai,mon banh,"Bột mì đa dụng, Bơ lạt, Men nở, Phô mai mozzarella, Phô mai cheddar",0,0,0,
q152,gạo lẩu,cooking_method,Grain,,Hotpot,dish7781,Lẩu chim bồ câu,mon lau,"Chim bồ câu, Nấm kim châm, Nấm đông cô tươi, Hành tím, Hành boa rô",1,1,0,
q152,gạo lẩu,cooking_method,Grain,,Hotpot,dish5156,Măng xào thịt ba chỉ,mon xao,"Măng tươi, Thịt ba chỉ, Tỏi, Hành lá, Nước mắm",0,0,0,
q152,gạo lẩu,cooking_method,Grain,,Hotpot,dish7824,Lẩu trâu nhúng mẻ,mon lau,"Thịt trâu, Cơm mẻ, Cà chua, Cà rốt, Sả",1,0,0,
q152,gạo lẩu,cooking_method,Grain,,Hotpot,dish7777,Lẩu giả cầy giò heo,mon lau,"Chân giò heo, Đuôi heo, Thịt mũi heo, Chuối xanh, Cơm mẻ",1,0,1,
q152,gạo lẩu,cooking_method,Grain,,Hotpot,dish3484,Bún thang,mon nuoc,"Gà ta, Xương ống, Sá sùng, Chả lụa, Trứng gà",0,1,0,
q152,gạo lẩu,cooking_method,Grain,,Hotpot,dish3457,Mì vịt tiềm chay,mon nuoc,"Tàu hũ ky tươi, Đậu hũ chiên, Củ sen, Cải thìa, Mì sợi",0,1,0,
